Running run
/home/float/g4xk7-mvbjj/HDU/hd-hws/szdl/hdu-dd/lab16_traffic_light/build/Vtraffic_light_display_unit
Time: 275, Second: 18, AN: 101, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 277, Second: 18, AN: 101, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 279, Second: 18, AN: 110, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 281, Second: 18, AN: 110, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 283, Second: 18, AN: 111, control_display_signal: 00000001, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 285, Second: 18, AN: 111, control_display_signal: 00000001, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 287, Second: 18, AN: 000, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 289, Second: 18, AN: 000, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 291, Second: 19, AN: 001, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 293, Second: 19, AN: 001, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 295, Second: 19, AN: 010, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 297, Second: 19, AN: 010, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 299, Second: 19, AN: 011, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 301, Second: 19, AN: 011, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 303, Second: 19, AN: 100, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 305, Second: 19, AN: 100, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 307, Second: 20, AN: 101, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 309, Second: 20, AN: 101, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 311, Second: 20, AN: 110, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 313, Second: 20, AN: 110, control_display_signal: 00001101, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 315, Second: 20, AN: 111, control_display_signal: 00000001, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 317, Second: 20, AN: 111, control_display_signal: 00000001, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 319, Second: 20, AN: 000, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 321, Second: 20, AN: 000, control_display_signal: 00000011, NUM_PRI: 33, NUM_SEC: 38, RGY_PRI: GREEN, RGY_SEC: RED
Time: 323, Second: 21, AN: 001, control_display_signal: 00000011, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 325, Second: 21, AN: 001, control_display_signal: 00000011, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 327, Second: 21, AN: 010, control_display_signal: 00001101, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 329, Second: 21, AN: 010, control_display_signal: 00001101, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 331, Second: 21, AN: 011, control_display_signal: 00100101, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 333, Second: 21, AN: 011, control_display_signal: 00100101, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 335, Second: 21, AN: 100, control_display_signal: 00000011, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 337, Second: 21, AN: 100, control_display_signal: 00000011, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 339, Second: 22, AN: 101, control_display_signal: 00000011, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 341, Second: 22, AN: 101, control_display_signal: 00000011, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 343, Second: 22, AN: 110, control_display_signal: 00001101, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 345, Second: 22, AN: 110, control_display_signal: 00001101, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 347, Second: 22, AN: 111, control_display_signal: 00011111, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 349, Second: 22, AN: 111, control_display_signal: 00011111, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 351, Second: 22, AN: 000, control_display_signal: 00000011, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 353, Second: 22, AN: 000, control_display_signal: 00000011, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 355, Second: 23, AN: 001, control_display_signal: 00000011, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
Time: 357, Second: 23, AN: 001, control_display_signal: 00000011, NUM_PRI: 32, NUM_SEC: 37, RGY_PRI: GREEN, RGY_SEC: RED
